date,time,symbol,high,close,low,open,volume,filename
2022-04-23,21:01:41,/NQ:XCME,13781.000000,13315.500000,13297.000000,13720.000000,724214,f_nq
2022-04-23,21:01:46,/NQ:XCME,13781.000000,13315.500000,13297.000000,13720.000000,724214,f_nq
2022-04-23,21:01:51,/NQ:XCME,13781.000000,13315.500000,13297.000000,13720.000000,724214,f_nq
2022-04-23,21:01:57,/NQ:XCME,13781.000000,13315.500000,13297.000000,13720.000000,724214,f_nq
2022-04-23,21:02:02,/NQ:XCME,13781.000000,13315.500000,13297.000000,13720.000000,724214,f_nq
2022-04-23,21:02:07,/NQ:XCME,13781.000000,13315.500000,13297.000000,13720.000000,724214,f_nq
2022-04-24,18:36:27,/NQ:XCME,0.000000,0.000000,0.000000,0.000000,0,f_nq
2022-04-24,18:37:28,/NQ:XCME,0.000000,0.000000,0.000000,0.000000,0,f_nq
2022-04-24,18:38:29,/NQ:XCME,0.000000,0.000000,0.000000,0.000000,0,f_nq
2022-04-24,18:39:31,/NQ:XCME,0.000000,0.000000,0.000000,0.000000,0,f_nq
2022-04-24,18:40:31,/NQ:XCME,13355.000000,13308.250000,13289.250000,13334.250000,9011,f_nq
2022-04-24,18:41:33,/NQ:XCME,13355.000000,13304.500000,13289.250000,13334.250000,9048,f_nq
2022-04-24,18:42:33,/NQ:XCME,13355.000000,13314.000000,13289.250000,13334.250000,9269,f_nq
2022-04-24,18:57:42,/NQ:XCME,13355.000000,13335.750000,13289.250000,13334.250000,10646,f_nq
2022-04-24,18:58:42,/NQ:XCME,13355.000000,13335.250000,13289.250000,13334.250000,10675,f_nq
2022-04-24,18:59:42,/NQ:XCME,13355.000000,13333.500000,13289.250000,13334.250000,10705,f_nq
2022-04-24,19:00:42,/NQ:XCME,13355.000000,13330.750000,13289.250000,13334.250000,10822,f_nq
